eegVariable,P6,pval
relPow_theta_rCP,-0.161290712565032,0.0471303015241525
relPow_gam2_rCP,0.200374909894822,0.0153094638103332
relPow_theta_rOP,-0.170001821387295,0.0362699536724723
logPow_gam1_lOP,-0.176547977056812,0.029571551944452
pow_gam2_lOP,-0.173217191196106,0.0378743664630151
pow_gam2_C,-0.171666586457129,0.03965317353532
relPow_theta_rH,-0.161054978199112,0.0474582588013994
logPow_gam1_lH,-0.177230252403873,0.0289383032944775
logPowAsym_alpha_lRC,-0.236409985181921,0.00447401235713283
logAlphaAsym_lML,0.16478957866495,0.0424804356360148
phase_the_bet_lF,0.161920445186943,0.0462634507481914
PACmi_the_gL_lF,0.167239265611499,0.0394587690180286
PACz_the_gL_lF,0.265608571266437,0.000942267018620891
phase_al_gL_lF,0.176982980085637,0.0291664590761256
phase_bet_gH_lF,-0.19960776209236,0.0136830416278761
phase_al_gH_lCP,0.161122523023127,0.0473640958186013
phase_bet_gL_rOP,0.16109430709592,0.0474034121859465
phase_the_gL_lOP,-0.245375945687696,0.00231178538854977
PACz_the_gL_F,0.201771393890762,0.0132851181074735
phase_the_gH_F,0.175355894589815,0.0307062989985493
phase_al_bet_F,-0.185674061390823,0.0220098086516541
phase_bet_gL_F,0.186429088002081,0.0214664770084254
PACz_del_bet_O,-0.172379710732288,0.0416891602586264
phase_del_gL_O,-0.174017543841927,0.0320241783450358
PACz_the_gH_O,-0.190208335031035,0.0205831160057921
PACz_al_gL_O,-0.175229762642988,0.0308285016326707
PACz_al_gH_O,-0.178786678167992,0.0280605021810263
phase_bet_bet_O,0.1847340243129,0.0227027944755711
PACz_bet_gL_O,0.16496960188336,0.0422519701680543
PACz_bet_gH_O,-0.181501378147731,0.0252309752508867
PACz_al_gH_C,-0.26058350071999,0.00127916697886151
PACz_bet_gH_C,-0.175597651401289,0.0340045108204237
phase_del_gL_lL,-0.191896831552699,0.0178658076602589
PACmi_del_gH_lL,0.181728740363411,0.028143843560773
PACz_del_gH_lL,0.236599758281699,0.00403756834441737
PACz_al_gL_lL,-0.179224977266505,0.0282004403140001
PACz_bet_gL_lL,0.18323094118501,0.0248082863458052
PACmi_del_bet_rL,0.168420724987693,0.040737252848318
phase_bet_gH_rL,0.19155176133541,0.0180764687814954
PACz_al_gH_rH,-0.170424652477296,0.0370615708427301
phase_al_gL_lH,0.247695967055084,0.00209317699554912
PACz_bet_gL_lH,0.18735316673678,0.0212485024421336
PACmiAsym_del_gL_iH,-0.185468385287911,0.0221598539625115
phaseAsym_al_gH_iH,0.197133650244253,0.0152601261362431
phaseAsym_bet_gH_iH,0.167273814975943,0.040082127673862
PACzAsym_del_gL_lRC,-0.267988403050476,0.00121238709246733
phaseAsym_the_bet_lRC,-0.206797249819317,0.0105817855132777
PACmiAsym_the_gL_lRC,-0.161888077295616,0.0463076801010561
PACzAsym_al_bet_lRC,-0.220302215254648,0.00916149451632513
PACmiAsym_al_gL_lRC,-0.184583598627158,0.0232753097782033
phaseAsym_the_bet_rRC,-0.171467077395604,0.0346687555936738
phaseAsym_al_bet_rRC,-0.162381504604094,0.0456372463195952
phaseAsym_del_gL_lML,-0.202188077101887,0.0127868436603914
PACmiAsym_al_gL_lML,-0.173335145111925,0.032714412397475
phaseAsym_al_gL_lML,0.163804132226629,0.0437494582200895
phaseAsym_del_gH_rML,-0.179840842396488,0.0281869018489489
phaseAsym_the_gL_rML,-0.165972533061033,0.0409979173568268
phaseAsym_al_gH_rML,0.162224941621861,0.0473251264539644
