eegVariable,P6,pval
logPow_beta_rF,0.177995735918626,0.0287743683272748
logPow_beta_lF,0.223758767439347,0.00558609386300892
logPow_gam1_lF,0.182460114167718,0.0244571519982808
logPow_gam2_lF,0.162725389954046,0.045174802964889
pow_beta_rCP,0.178962787455678,0.0312586314112154
logPow_beta_rCP,0.17960804656426,0.0268209032569783
pow_delta_lCP,0.167518418360954,0.0447596708159072
logPow_delta_lCP,0.160612955504294,0.0480783281787132
logPow_theta_lCP,0.159344843617299,0.0498947346091402
logPow_alpha_lCP,0.180381422117331,0.0261614024570177
logPow_beta_lCP,0.163322369785679,0.0450982963928111
logPow_gam1_lCP,0.167210117855167,0.0394936314481416
pow_delta_rOP,0.166148041065747,0.0465627934635712
logPow_beta_rOP,0.167270372843591,0.0394215914715776
logPow_gam1_rOP,0.1610525321305,0.0474616717416672
pow_delta_lOP,0.184185158232412,0.026575568085495
logPow_delta_lOP,0.175120909935968,0.0309342953634744
logPow_theta_lOP,0.18777520407705,0.0205264356614466
logPow_alpha_lOP,0.175885183680689,0.0301979781716775
logPow_beta_lOP,0.193579223377726,0.0172401077330489
logPow_gam1_lOP,0.212588131499394,0.00855222864086805
logPow_gam2_lOP,0.181579467747357,0.0251671715665427
pow_beta_F,0.184695469481058,0.0256323024948022
logPow_beta_F,0.216645451650823,0.00734350586397773
logPow_gam1_F,0.193295056348007,0.0170338545164846
logPow_gam2_F,0.170993528058074,0.0351795725638381
pow_delta_O,0.198778727968167,0.0173132808631122
logPow_theta_O,0.16497778451207,0.0422416101822374
logPow_beta_O,0.195411116941984,0.015838813709298
logPow_gam1_O,0.179599103184603,0.0268286121434383
pow_gam2_O,0.175514549976464,0.0322713119137941
logPow_gam2_O,0.164691832420235,0.0426049169758066
pow_delta_C,0.166635934389228,0.0459140173030457
pow_beta_C,0.169403693421236,0.0402448862301485
logPow_beta_C,0.20478742262865,0.0113793578654671
logPow_gam1_C,0.202046966012969,0.0125517810889299
logPow_gam2_C,0.174501710538477,0.031541980700994
pow_delta_lL,0.231066674633152,0.00532895353344142
logPow_theta_lL,0.181248016364998,0.0254389415791093
logPow_alpha_lL,0.198679701073045,0.014136316058045
pow_beta_lL,0.165268888970901,0.0447112387721675
logPow_beta_lL,0.171847379860139,0.0348695493583396
pow_delta_rL,0.173844902187614,0.0378499661601014
pow_alpha_rL,0.176714449004992,0.0305219371505028
logPow_alpha_rL,0.170181943534833,0.0360698165124504
logPow_beta_rL,0.185848816873213,0.0227857844088961
logPow_beta_rH,0.204283555037792,0.0115874100897563
logPow_gam1_rH,0.17880191610922,0.0275234114376706
logPow_delta_lH,0.161899117849846,0.0462925896924219
logPow_theta_lH,0.163638077237817,0.0439663871823253
logPow_alpha_lH,0.179861927392268,0.0266028551293959
pow_beta_lH,0.170572237484873,0.0381982394788978
logPow_beta_lH,0.193697219437218,0.0171709617351545
logPow_gam1_lH,0.197229945095057,0.0148706471679807
logPow_gam2_lH,0.167364505429099,0.0393092689841578
logPowAsym_gam2_rML,-0.166848336191096,0.0441315408193577
logSlopeAsym_rML,0.186897688082447,0.0281665538645323
PACmi_bet_bet_rF,0.173145556919974,0.0341004070479833
PACz_bet_bet_rF,0.209392526581725,0.00962494055029773
PACz_the_gL_lF,-0.223694736181089,0.00560006994583571
PACz_del_gH_rCP,-0.211617116138091,0.0111754400843896
PACz_del_gH_lCP,-0.172986755069141,0.0361468955299052
phase_del_gL_rOP,0.254958298396507,0.00152467942035869
PACz_the_bet_rOP,-0.220395875544901,0.00636374150267736
PACmi_bet_gH_rOP,0.180430068593629,0.0271406899990746
PACz_bet_gH_rOP,0.193071060034674,0.0179249974885886
phase_bet_gH_rOP,-0.167727101507582,0.0388791165055054
phase_the_gL_lOP,0.180092253945875,0.0264063499608087
PACmi_al_gL_lOP,0.162971707080614,0.0455677067606527
phase_the_gH_F,-0.160918624102289,0.0476488223308822
phase_al_bet_F,0.208501391509411,0.00994451277279554
PACz_al_gL_F,-0.161010619409336,0.049029521844523
phase_al_gH_F,0.181092153292699,0.0255676063734516
phase_bet_gL_F,-0.165665138607736,0.0413789180760799
PACmi_del_bet_O,0.170856897617938,0.0467261654698263
phase_del_gL_O,0.176075708994413,0.0300167612878384
PACmi_al_gL_O,0.171425066478803,0.0353255462900172
phase_al_gL_O,0.237777026484374,0.00318043346807825
PACz_bet_gL_O,-0.185392826663243,0.0222151964359035
PACmi_bet_gH_O,0.192585351213648,0.0182210844755118
PACz_bet_gH_O,0.163985289359353,0.0449421395959829
PACmi_the_bet_lL,0.170135198703566,0.0367495977094582
PACz_the_gL_lL,-0.195834174438675,0.0156088510802599
PACz_del_gL_rL,-0.184731745924536,0.024596290403887
PACmi_bet_bet_rL,0.1685173528651,0.0392640880429704
phase_bet_gH_rL,-0.243377621690038,0.00251645536508247
PACmi_the_gL_rH,0.163028493752096,0.0469702909899202
PACz_bet_gL_rH,-0.185381152407252,0.0250799248515461
phase_bet_gH_rH,-0.18520434515172,0.0223537674945217
PACmi_the_bet_lH,0.16215048198408,0.0466829963393737
phase_al_gL_lH,-0.189780696099459,0.0191919067170271
PACmiAsym_del_bet_iH,0.231908455229837,0.0040421063247054
PACzAsym_the_gL_iH,-0.191419373038739,0.0224888551744597
phaseAsym_al_bet_iH,0.161060890465365,0.0474500104031388
PACmiAsym_al_bet_rRC,-0.181100910763924,0.0255603623418725
PACmiAsym_bet_gL_rRC,-0.166564853604604,0.0416317206879555
phaseAsym_del_gL_lML,0.286840180057677,0.000355897232387626
