eegVariable,Cor_coef,pval
pow_theta_lF,-0.209353029870254,0.0365788265899433
logPow_theta_lF,-0.207321690065831,0.0365446716355794
pow_delta_lCP,-0.216636731825398,0.0321459159968701
pow_theta_lCP,-0.234387579627135,0.0189148546719027
pow_gam2_rOP,0.205520621749499,0.04023579925863
logPow_theta_F,-0.195478966999959,0.0489590401177354
pow_delta_O,-0.225566566939945,0.0255351492539386
pow_delta_C,-0.26769417706653,0.00680197288703639
logPow_delta_C,-0.234436596901589,0.0177081155712857
pow_gam1_C,0.232952170840929,0.0230967508194771
logPow_delta_lL,-0.212748807915776,0.032679174401611
pow_theta_lH,-0.210342686727901,0.0366408615888371
powAsym_delta_iH,-0.222944493382265,0.0290104079644108
relPowAsym_alpha_rRC,0.212974370218486,0.0324907002920293
logAlpha_lF,-0.234626082815774,0.0181923199224504
logAlpha_lH,-0.199136934392636,0.0447984776546151
logAlphaAsym_iH,-0.238276015397841,0.0164171894940882
logAlphaAsym_rML,-0.251636924903586,0.0107327916515269
sampEnt_all_rOP,0.197669786435166,0.0464305007892738
sampEnt_fine_rOP,0.211405296035064,0.0329292785175725
sampEntAsym_med_iH,0.197535650864485,0.0488408479443741
sampEntAsym_course_iH,0.238331996378204,0.0175205883061278
sampEntAsym_all_rRC,0.217629979923499,0.0296241339205318
PACz_del_bet_rF,-0.241247316362185,0.0156073305279975
phase_the_gH_lF,-0.196094500025771,0.0482373829810874
phase_del_gL_rCP,-0.252682481097414,0.0103999988828391
PACz_bet_bet_rCP,0.257876726792976,0.0088772776990615
PACz_bet_gL_rCP,0.219520032951697,0.0266344324143158
PACmi_del_bet_lCP,-0.207396336538056,0.0384095078923946
PACz_del_bet_lCP,-0.246220495667074,0.0140221230724781
PACmi_del_gH_lCP,0.199126775265856,0.049333856374321
phase_del_gH_lCP,0.219662474054382,0.0265337914362203
phase_the_gH_lCP,0.260800554587107,0.00810947256150646
phase_del_gH_rOP,-0.254065159569134,0.00997380854024546
PACz_the_bet_rOP,-0.290300122331827,0.0030786844613146
phase_the_gL_rOP,0.197208833888488,0.046953318215727
PACz_bet_gL_rOP,0.207916050363845,0.0359986082554143
PACmi_del_bet_F,-0.214113240195757,0.0324286727626711
PACz_del_bet_F,-0.268763405312091,0.00714772782802975
PACz_the_bet_O,-0.217580483103351,0.0280374477705618
phase_al_gH_C,-0.272038014124595,0.00567562810365988
PACz_del_bet_lL,-0.209520479831957,0.0383984266560437
PACmi_del_gH_lL,0.227222754536977,0.0259898673184061
PACz_al_bet_lL,-0.228743308799897,0.0207517085204623
PACz_al_gL_lL,0.201436452901113,0.0423365966800106
PACmi_bet_gL_lL,0.220538918917542,0.0266803324428018
PACz_bet_gH_rL,0.262898072098592,0.00790500258160161
PACz_del_bet_rH,-0.209594442071323,0.0393554394271203
phase_del_gL_rH,-0.243027259827543,0.0138464081774381
PACz_bet_gL_rH,0.288104195974821,0.00348254188394957
PACz_bet_gH_rH,0.263430913645013,0.00842555783244272
PACz_del_gL_lH,-0.242961233835018,0.0153862078467411
PACmiAsym_bet_gH_iH,-0.231439769914709,0.0192583722735807
phaseAsym_the_gL_lRC,0.205793205507996,0.0379809569808047
PACzAsym_al_bet_lRC,-0.258459665671623,0.0114410836193652
phaseAsym_al_bet_lRC,0.249488652213233,0.0114459535984297
phaseAsym_al_gH_lRC,0.20605915256083,0.0377277075769868
PACmiAsym_del_gL_rRC,0.22366943708309,0.0238323554189004
PACmiAsym_the_bet_rRC,-0.256898160986998,0.00914816827865305
PACzAsym_the_bet_rRC,0.226784232606534,0.0288144510033829
phaseAsym_the_bet_rRC,0.299480488655796,0.00222942692663358
PACzAsym_al_gH_rRC,-0.229643764903417,0.0251775198093937
phaseAsym_bet_gH_rRC,0.202906994788539,0.0408221122272235
PACmiAsym_al_gL_lML,0.223890883009336,0.023690174401047
PACzAsym_bet_gH_lML,-0.248713751642226,0.0145458940177211
phaseAsym_bet_gH_lML,-0.298010251594602,0.00234933958729422
PACmiAsym_al_gL_rML,0.212848706887007,0.0317257102525976
phaseAsym_bet_gH_rML,-0.212841290164398,0.0317317983117343
