eegVariable,Cor_coef,pval
logPow_delta_rF,0.202974492810295,0.040753696997896
logPow_gam1_rF,0.206424966466953,0.0373816723367244
logPow_delta_lF,0.23763855348974,0.0161719447946302
logPow_delta_rCP,0.225780393505072,0.0225062061499485
relPow_alpha_rCP,-0.203177940597092,0.0405480633892288
logPow_gam1_rCP,0.195020432625387,0.0495024118872464
logPow_delta_lCP,0.197843769905015,0.046234425672317
logPow_delta_rOP,0.203699891861891,0.0400244634760321
pow_delta_lOP,0.280823004064899,0.00486924116649914
logPow_delta_F,0.219756666805401,0.0264674179293791
pow_delta_O,0.273136815366159,0.00623081937376996
logPow_delta_O,0.198855235846956,0.045108082084505
pow_delta_C,0.335146021396121,0.000612782792845169
logPow_delta_C,0.205372124171512,0.0383848450673481
logPow_delta_lL,0.210463970284294,0.0337347504763904
logPow_delta_rL,0.195529979030163,0.0488988958720255
logPow_delta_rH,0.220871572998637,0.0256924643626219
logPow_delta_lH,0.211094361725391,0.0331935255864655
logPowAsym_alpha_lRC,0.221172065184332,0.0312455538668674
logPowAsym_alpha_rRC,-0.259856724176979,0.0114288670300885
relPowAsym_delta_rML,-0.25488154630579,0.00972942982117522
relPowAsym_theta_rML,-0.212653031450019,0.0318866622396679
logSlopeAsym_lRC,-0.23653733933998,0.0232025650787775
relSlopeAsym_lRC,-0.266577459758452,0.0102103904967604
relSlopeAsym_rRC,-0.206575032621015,0.0481919162508617
relSlopeAsym_lML,-0.223545752486737,0.0303229920159329
logAlpha_lF,0.202518790158666,0.0433091040083812
relAlpha_lCP,0.21013901273186,0.03492772015107
logAlpha_lOP,0.224705201154903,0.0231735515620289
relAlpha_lOP,0.25089581802014,0.0122492790268623
relAlpha_O,0.235407890712715,0.0189966124709504
logAlpha_lL,0.21359430271766,0.0311186973007779
relAlpha_rL,0.197525529777456,0.0477090199892914
logAlpha_lH,0.261854146745977,0.00784750266433303
relAlpha_lH,0.27116788134603,0.00583770274891685
logAlphaAsym_iH,0.39467698632147,4.42348468346267e-05
sampEnt_course_rF,-0.196825300648264,0.0473920350881896
sampEnt_course_lF,-0.250910297601606,0.0109695293266736
sampEnt_course_rCP,-0.275112662467873,0.00513447743929866
sampEnt_all_lCP,-0.212549772603743,0.0319718749028023
sampEnt_med_lCP,-0.201007159938613,0.0427874446669699
sampEnt_course_lCP,-0.267445146827583,0.00657845722842714
sampEnt_all_rOP,-0.250491789546716,0.0111079443801927
sampEnt_med_rOP,-0.236188358918207,0.0168527793472204
sampEnt_course_rOP,-0.329914658258374,0.000753915699697038
sampEnt_course_lOP,-0.217208095306899,0.0283138809212307
sampEnt_course_F,-0.232633311510564,0.0186274920442229
sampEnt_all_O,-0.258574369788465,0.00868848675643951
sampEnt_med_O,-0.253951289368851,0.0100083190486016
sampEnt_course_O,-0.275160384738964,0.00512645312888142
sampEnt_all_C,-0.248724052655652,0.0117095920898139
sampEnt_med_C,-0.232269153770908,0.018818062417728
sampEnt_course_C,-0.290342099738169,0.00307421665084493
sampEnt_all_lL,-0.218941721436806,0.027046377310885
sampEnt_med_lL,-0.205873855824715,0.0379040073220981
sampEnt_course_rL,-0.316519971143138,0.00126094058040505
sampEnt_course_rH,-0.311688060228164,0.00150941129260156
sampEnt_all_lH,-0.204315964989834,0.0394137251354821
sampEnt_course_lH,-0.266207601275951,0.00684251971905069
phase_al_gL_rF,-0.196717279812505,0.0475162091294122
PACmi_del_bet_lF,0.259286349019506,0.00955353402028805
PACz_bet_bet_lF,-0.202744059250276,0.0409876569271398
phase_bet_gH_lF,-0.24034205476936,0.0149660930790345
PACz_bet_bet_rCP,-0.287016598230346,0.00344676344049554
PACz_bet_gL_rCP,-0.262889418117169,0.00759738969670228
PACz_del_gH_rOP,0.317435231058102,0.00129041934675571
phase_the_gL_rOP,-0.204787999526393,0.038951067629345
phase_the_bet_lOP,0.243866183278141,0.0135118654171412
PACmi_del_bet_F,0.264985078493843,0.00836735240657459
PACz_del_bet_F,0.248914595546538,0.0125146659970833
PACz_del_gL_F,0.200447982577873,0.0466635069334336
phase_al_bet_F,-0.222916926871717,0.0243209706140969
PACz_the_gL_C,0.195828906073043,0.0496919894112337
phase_the_gH_C,0.201597256129811,0.0421687415298729
phase_al_gH_C,0.218424240916314,0.0274195705391591
PACz_al_bet_lL,0.240016943813009,0.0151068497922746
PACz_al_gL_lL,-0.28597781934553,0.00357116189293957
phase_the_gH_rL,0.198667847991856,0.0453150155810472
PACz_bet_gL_rL,-0.20889571198258,0.0351135120385706
PACz_bet_gH_rL,-0.213551552593609,0.0320125920761248
PACz_bet_bet_rH,-0.221571565988516,0.0259602932475861
PACz_bet_gL_rH,-0.274415281096855,0.0057289954308681
PACzAsym_del_gH_iH,-0.217619359777374,0.0322538694333769
PACmiAsym_al_gL_iH,-0.235108343996849,0.0173757908063843
PACmiAsym_bet_gL_iH,0.210272857227177,0.0339002922261107
phaseAsym_al_bet_lRC,-0.214769334593519,0.0301820040716922
phaseAsym_the_bet_rRC,-0.303315558849893,0.00194219561155255
phaseAsym_bet_gH_rRC,-0.199712234398115,0.0441716687875197
PACmiAsym_al_gL_lML,-0.225841221600287,0.0224689484913343
PACmiAsym_bet_gL_lML,-0.254651599568575,0.0101734881444602
PACzAsym_bet_gH_lML,0.301728122236083,0.00253332860481753
phaseAsym_bet_gH_lML,0.19565374296117,0.048753229462833
PACmiAsym_the_gL_rML,-0.235171872238708,0.0173446429101139
PACmiAsym_al_gL_rML,-0.233095236022663,0.0183881530302135
