eegVariable,Cor_coef,pval
pow_gam1_lF,0.256739049045815,0.00992343772417721
relPow_gam1_lF,0.201004841395306,0.0438470396462545
pow_gam1_O,0.20649661608209,0.0392766734529955
pow_gam1_rL,0.217297527285576,0.0282472830921269
pow_gam1_rH,0.212461039116578,0.0329209643729548
pow_gam1_lH,0.202201870850134,0.0425799838040982
logPowAsym_alpha_lML,-0.267167282321042,0.0104642585272001
relAlphaAsym_iH,0.244605881719139,0.0136924829321293
logAlphaAsym_rML,-0.197084413882049,0.0470952697909068
sampEnt_course_rCP,-0.232449896331679,0.0187232676563031
sampEnt_course_rL,-0.227526826259816,0.0214573055316251
PACz_del_gL_rCP,0.2103688152278,0.0356576880221019
phase_del_gL_rCP,-0.287003538001583,0.00344830303682629
phase_del_gH_rCP,-0.210020498079294,0.0341199327360615
PACz_bet_gH_rCP,0.222197344651132,0.0255320556698702
phase_the_gH_lCP,0.279151690948357,0.00449357425311259
PACmi_del_gH_rOP,0.204329617236402,0.0435754068321438
phase_del_gH_rOP,-0.270903628456639,0.00588773046980132
PACz_bet_gL_rOP,0.198022143091118,0.0471411415677729
PACmi_del_gH_lOP,0.213744281676142,0.0327354822601708
PACmi_del_gL_C,0.241649032677602,0.0154302254440405
phase_del_gL_rH,-0.217778364094231,0.0278914900749278
phase_del_gH_rH,-0.199691494439322,0.0441941383202887
phaseAsym_bet_bet_iH,-0.223188316757452,0.024143776525662
PACmiAsym_bet_gH_iH,-0.206219267217379,0.0375759210579703
PACzAsym_al_bet_lRC,-0.370120215106203,0.000260598806510308
PACmiAsym_the_bet_rRC,-0.32644071239179,0.000812553556363007
PACzAsym_bet_gH_rRC,0.223476949903986,0.0332233936172188
PACzAsym_bet_gH_lML,-0.255458192568549,0.0134591395725074
phaseAsym_bet_bet_rML,0.21112341995925,0.0331687550162304
